radius_um,kappa,loss_db_per_cm,resonance_nm,analytic_fsr_nm,fwhm_nm,q_loaded,extinction_ratio_db,baseline_transmission,min_transmission
10.0,0.6,5.0,1552.7583305766038,9.559243769456964,0.6888549986015317,2254.1149207437156,0.2814127279579399,0.9996131604590536,0.9368945064138166
12.5,0.05,0.5,1547.0235348072388,7.6473950155655706,0.004131247957941382,374468.81682166737,6.57187828172503,0.9999998108327557,0.22019735080716663
12.5,0.05,2.0,1547.023534813378,7.6473950155655706,0.0074202256063720115,208487.3987503687,14.79921270045589,0.9999992432852118,0.033119090455754896
12.5,0.05,5.0,1547.0235348361464,7.6473950155655706,0.013998180578452115,110516.04357908723,4.937790239263366,0.9999981079762583,0.320789507200855
12.5,0.1,0.5,1547.0235348329884,7.6473950155655706,0.01328186255716813,116476.39991561805,1.5671668390683253,0.999999240343362,0.6970805836970013
12.5,0.1,2.0,1547.0235348488545,7.6473950155655706,0.016570839948030873,93358.18460021327,6.544738924317212,0.9999969612209473,0.22157705602765831
12.5,0.1,5.0,1547.023534891074,7.6473950155655706,0.023148794122708642,66829.55175507245,25.547199167866577,0.9999924022033004,0.002787897378648596
12.5,0.15,0.5,1547.0235349374686,7.6473950155655706,0.028688047933956677,53925.71632963324,0.6906115221780038,0.9999982794533039,0.8529785314036854
12.5,0.15,2.0,1547.0235349697048,7.6473950155655706,0.03197702424357986,48379.2213804981,2.7845985937772055,0.9999931174503708,0.5266682666063598
12.5,0.15,5.0,1547.0235350446524,7.6473950155655706,0.03855497591318885,40125.13296670088,7.304567326773801,0.9999827918180357,0.18600978631242604
12.5,0.25,0.5,1547.0235358210577,7.6473950155655706,0.07934598253902764,19497.187964874323,0.24340482845347977,0.9999951058402383,0.9454909835242057
12.5,0.25,2.0,1547.0235359070805,7.6473950155655706,0.08263493303480927,18721.180971435046,0.9745768069102555,0.9999804130878066,0.7989761448966947
12.5,0.25,5.0,1547.0235360896058,7.6473950155655706,0.08921281928130596,17340.82106755902,2.450005272849168,0.9999509780458558,0.5688243539410232
12.5,0.4,0.5,1547.023542094617,7.6473950155655706,0.21247386842179614,7281.006147181905,0.09009233761948465,0.9999862365304736,0.9794556792876736
12.5,0.4,2.0,1547.0235423219851,7.6473950155655706,0.21576142919836314,7170.065326642365,0.360418102342202,0.9999448662566282,0.9203102199000786
12.5,0.4,5.0,1547.0235427871805,7.6473950155655706,0.22233626778574972,6958.035043917987,0.9017267974328205,0.9998617549184342,0.8123950658754765
12.5,0.6,0.5,1547.0235819561199,7.6473950155655706,0.5395749975249691,2867.1150239583344,0.03517226173780253,0.9999522172242657,0.9918865963042238
12.5,0.6,2.0,1547.0235825195086,7.6473950155655706,0.5427687359009564,2850.244459920048,0.14069403233645478,0.9998079085287102,0.9679371629926882
12.5,0.6,5.0,1547.0235836549239,7.6473950155655706,0.5491451981403038,2817.148522638392,0.3517874904234775,0.9995147794865654,0.9217443224631431
15.0,0.05,0.5,1543.223863906856,6.372829179637977,0.0036076406728502187,427765.4023363782,8.063619237306852,0.9999997727485942,0.15618451653412935
15.0,0.05,2.0,1543.2238639124155,6.372829179637977,0.006880481754712036,224290.08882343923,11.422592690528795,0.9999990907230843,0.07206764590887138
15.0,0.05,5.0,1543.2238639339487,6.372829179637977,0.013426163679061805,114941.53511182178,4.080925016078004,0.9999977264221382,0.39075676993342756
15.0,0.1,0.5,1543.223863925052,6.372829179637977,0.011195740271248898,137840.27018634148,1.8828534756061979,0.999999087185518,0.6482078049826806
15.0,0.1,2.0,1543.2238639386592,6.372829179637977,0.014468581043165955,106660.34625887386,8.02876092637244,0.9999963484433928,0.1574426248122962
15.0,0.1,5.0,1543.2238639762834,6.372829179637977,0.021014261602227777,73436.9778575842,28.33795049474638,0.9999908696191504,0.0014662262323584807
15.0,0.15,0.5,1543.2238639978375,6.372829179637977,0.02397123846266963,64378.144934025724,0.8289260653423179,0.9999979324353964,0.826240531332005
15.0,0.15,2.0,1543.2238640249811,6.372829179637977,0.027244077689647886,56644.37906853313,3.354262925164337,0.9999917290968517,0.46192356196364315
15.0,0.15,5.0,1543.2238640896855,6.372829179637977,0.03378975436027136,45671.35492124638,9.013224521817964,0.999979319529924,0.1255071784729357
15.0,0.25,0.5,1543.2238646094004,6.372829179637977,0.06597906909959067,23389.597423389147,0.2920942059799176,0.9999941268187207,0.9349492309260714
15.0,0.25,2.0,1543.2238646810417,6.372829179637977,0.06925188254310538,22284.215360073023,1.1700328263862556,0.9999764923295671,0.7638120542407644
15.0,0.25,5.0,1543.2238648347272,6.372829179637977,0.07579749103001364,20359.827797250633,2.9486633242810356,0.9999411503140383,0.5071169289482769
15.0,0.4,0.5,1543.2238689406215,6.372829179637977,0.17637459605961345,8749.69470330649,0.10811123640008664,0.9999834818557957,0.9753976446981771
15.0,0.4,2.0,1543.223869129186,6.372829179637977,0.17964602649107186,8590.359048135595,0.4325291342662613,0.999933814492001,0.9051453853553202
15.0,0.4,5.0,1543.2238695167105,6.372829179637977,0.1861885088803907,8288.50222173535,1.0825011975953673,0.99983393705518,0.7792516921640678
15.0,0.6,0.5,1543.2238964401265,6.372829179637977,0.4476157781399342,3447.6530359429867,0.04220677512681409,0.999942637363958,0.9902717947270864
15.0,0.6,2.0,1543.2238969067537,6.372829179637977,0.4507930679072006,3423.3532118653584,0.1688351535266574,0.9997691559887684,0.9616481906116116
15.0,0.6,5.0,1543.223897848722,6.372829179637977,0.4571361332078699,3375.8519306260655,0.42217580918657654,0.9994157078397873,0.9068356605547617
